S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
254,11-Sep-2017 - 00:00,12-Sep-2017 - 00:00,,,,,,
255,12-Sep-2017 - 00:00,13-Sep-2017 - 00:00,,,,,,
256,13-Sep-2017 - 00:00,14-Sep-2017 - 00:00,,,,,,
257,14-Sep-2017 - 00:00,15-Sep-2017 - 00:00,,,,,,
258,15-Sep-2017 - 00:00,16-Sep-2017 - 00:00,,,,,,
259,16-Sep-2017 - 00:00,17-Sep-2017 - 00:00,,,,,,
260,17-Sep-2017 - 00:00,18-Sep-2017 - 00:00,,,,,,
261,18-Sep-2017 - 00:00,19-Sep-2017 - 00:00,,,,,,
262,19-Sep-2017 - 00:00,20-Sep-2017 - 00:00,,,,,,
263,20-Sep-2017 - 00:00,21-Sep-2017 - 00:00,,,,,,
264,21-Sep-2017 - 00:00,22-Sep-2017 - 00:00,,,,,,
265,22-Sep-2017 - 00:00,23-Sep-2017 - 00:00,,,,,,
266,23-Sep-2017 - 00:00,24-Sep-2017 - 00:00,,,,,,
267,24-Sep-2017 - 00:00,25-Sep-2017 - 00:00,,,,,,
268,25-Sep-2017 - 00:00,26-Sep-2017 - 00:00,,,,,,
269,26-Sep-2017 - 00:00,27-Sep-2017 - 00:00,,,,,,
270,27-Sep-2017 - 00:00,28-Sep-2017 - 00:00,,,,,,
271,28-Sep-2017 - 00:00,29-Sep-2017 - 00:00,,,,,,
272,29-Sep-2017 - 00:00,30-Sep-2017 - 00:00,,,,,,
273,30-Sep-2017 - 00:00,01-Oct-2017 - 00:00,,,,,,
274,01-Oct-2017 - 00:00,02-Oct-2017 - 00:00,,,,,,
275,02-Oct-2017 - 00:00,03-Oct-2017 - 00:00,,,,,,
276,03-Oct-2017 - 00:00,04-Oct-2017 - 00:00,,,,,,
277,04-Oct-2017 - 00:00,05-Oct-2017 - 00:00,,,,,,
278,05-Oct-2017 - 00:00,06-Oct-2017 - 00:00,,,,,,
279,06-Oct-2017 - 00:00,07-Oct-2017 - 00:00,,,,,,
280,07-Oct-2017 - 00:00,08-Oct-2017 - 00:00,,,,,,
281,08-Oct-2017 - 00:00,09-Oct-2017 - 00:00,,,,,,
282,09-Oct-2017 - 00:00,10-Oct-2017 - 00:00,,,,,,
283,10-Oct-2017 - 00:00,11-Oct-2017 - 00:00,,,,,,
284,11-Oct-2017 - 00:00,12-Oct-2017 - 00:00,,,,,,
285,12-Oct-2017 - 00:00,13-Oct-2017 - 00:00,,,,,,
286,13-Oct-2017 - 00:00,14-Oct-2017 - 00:00,,,,,,
287,14-Oct-2017 - 00:00,15-Oct-2017 - 00:00,,,,,,
288,15-Oct-2017 - 00:00,16-Oct-2017 - 00:00,,,,,,
289,16-Oct-2017 - 00:00,17-Oct-2017 - 00:00,,,,,,
290,17-Oct-2017 - 00:00,18-Oct-2017 - 00:00,,,,,,
291,18-Oct-2017 - 00:00,19-Oct-2017 - 00:00,,,,,,
292,19-Oct-2017 - 00:00,20-Oct-2017 - 00:00,,,,,,
293,20-Oct-2017 - 00:00,21-Oct-2017 - 00:00,,,,,,
294,21-Oct-2017 - 00:00,22-Oct-2017 - 00:00,,,,,,
295,22-Oct-2017 - 00:00,23-Oct-2017 - 00:00,,,,,,
296,23-Oct-2017 - 00:00,24-Oct-2017 - 00:00,,,,,,
297,24-Oct-2017 - 00:00,25-Oct-2017 - 00:00,,,,,,
298,25-Oct-2017 - 00:00,26-Oct-2017 - 00:00,,,,,,
299,26-Oct-2017 - 00:00,27-Oct-2017 - 00:00,,,,,,
,,,,,,,,
301,28-Oct-2017 - 00:00,29-Oct-2017 - 00:00,,,,,,
302,29-Oct-2017 - 00:00,30-Oct-2017 - 00:00,,,,,,
303,30-Oct-2017 - 00:00,31-Oct-2017 - 00:00,,,,,,
304,31-Oct-2017 - 00:00,01-Nov-2017 - 00:00,,,,,,
305,01-Nov-2017 - 00:00,02-Nov-2017 - 00:00,,,,,,
306,02-Nov-2017 - 00:00,03-Nov-2017 - 00:00,,,,,,
307,03-Nov-2017 - 00:00,04-Nov-2017 - 00:00,,,,,,
308,04-Nov-2017 - 00:00,05-Nov-2017 - 00:00,,,,,,
309,05-Nov-2017 - 00:00,06-Nov-2017 - 00:00,,,,,,
310,06-Nov-2017 - 00:00,07-Nov-2017 - 00:00,,,,,,
311,07-Nov-2017 - 00:00,08-Nov-2017 - 00:00,,,,,,
312,08-Nov-2017 - 00:00,09-Nov-2017 - 00:00,,,,,,
