S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
1052,18-Nov-2019 - 00:00,19-Nov-2019 - 00:00,,15.58,14.6,126.99,,
1053,19-Nov-2019 - 00:00,20-Nov-2019 - 00:00,,14.51,15.18,113.77,,
1054,20-Nov-2019 - 00:00,21-Nov-2019 - 00:00,,13.41,15.52,104.26,,
1055,21-Nov-2019 - 00:00,22-Nov-2019 - 00:00,,15.35,14.88,99.63,,
1056,22-Nov-2019 - 00:00,23-Nov-2019 - 00:00,,15.73,14.85,109.14,,
1057,23-Nov-2019 - 00:00,24-Nov-2019 - 00:00,,15.47,14.53,143.45,,
1058,24-Nov-2019 - 00:00,25-Nov-2019 - 00:00,,14.12,15.07,138.09,,
1059,25-Nov-2019 - 00:00,26-Nov-2019 - 00:00,,15.12,14.91,153.15,,
1060,26-Nov-2019 - 00:00,27-Nov-2019 - 00:00,,13.13,14.68,136.16,,
1061,27-Nov-2019 - 00:00,28-Nov-2019 - 00:00,,13.21,14.86,151.42,,
1062,28-Nov-2019 - 00:00,29-Nov-2019 - 00:00,,12.62,14.95,115.74,,
1063,29-Nov-2019 - 00:00,30-Nov-2019 - 00:00,,12.56,15.11,114.93,,
1064,30-Nov-2019 - 00:00,01-Dec-2019 - 00:00,,13.6,14.94,87.9,,
1065,01-Dec-2019 - 00:00,02-Dec-2019 - 00:00,,,,,,
1066,02-Dec-2019 - 00:00,03-Dec-2019 - 00:00,,,,,,
1067,03-Dec-2019 - 00:00,04-Dec-2019 - 00:00,,,,,,
1068,04-Dec-2019 - 00:00,05-Dec-2019 - 00:00,,,,,,
1069,05-Dec-2019 - 00:00,06-Dec-2019 - 00:00,,,,,,
1070,06-Dec-2019 - 00:00,07-Dec-2019 - 00:00,,,,,,
1071,07-Dec-2019 - 00:00,08-Dec-2019 - 00:00,,,,,,
1072,08-Dec-2019 - 00:00,09-Dec-2019 - 00:00,,,,,,
