S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
125,05-May-2017 - 00:00,06-May-2017 - 00:00,,28.98,14.5,156.78,43.69,0.52
126,06-May-2017 - 00:00,07-May-2017 - 00:00,,28.2,5.35,138.28,48.27,0.46
127,07-May-2017 - 00:00,08-May-2017 - 00:00,,43.36,15.57,149.77,47.19,0.54
128,08-May-2017 - 00:00,09-May-2017 - 00:00,,30.27,9.78,121.2,45.64,0.48
129,09-May-2017 - 00:00,10-May-2017 - 00:00,,38.29,11.98,82.44,43.55,0.45
130,10-May-2017 - 00:00,11-May-2017 - 00:00,,37.7,12.54,99.04,44.67,0.51
131,11-May-2017 - 00:00,12-May-2017 - 00:00,,28.68,13.12,151.98,37.81,0.36
132,12-May-2017 - 00:00,13-May-2017 - 00:00,,29.98,21.4,109.42,41.76,0.49
133,13-May-2017 - 00:00,14-May-2017 - 00:00,,24.97,20.88,141.12,40.2,0.61
134,14-May-2017 - 00:00,15-May-2017 - 00:00,,42.59,14.64,172.01,41.11,0.49
135,15-May-2017 - 00:00,16-May-2017 - 00:00,,28.79,8.82,128.83,34.1,0.52
136,16-May-2017 - 00:00,17-May-2017 - 00:00,,41.35,12.93,104.39,36.48,0.44
137,17-May-2017 - 00:00,18-May-2017 - 00:00,,32.13,10.66,96.04,33.92,0.62
138,18-May-2017 - 00:00,19-May-2017 - 00:00,,25.18,12.86,190.13,40.33,0.59
139,19-May-2017 - 00:00,20-May-2017 - 00:00,,42.62,15.92,206.37,43.26,0.52
140,20-May-2017 - 00:00,21-May-2017 - 00:00,,40.09,13.2,172.06,41.36,0.48
141,21-May-2017 - 00:00,22-May-2017 - 00:00,,43.72,15.72,161.44,44.69,0.39
142,22-May-2017 - 00:00,23-May-2017 - 00:00,,43.03,15.55,182.18,38.61,0.65
143,23-May-2017 - 00:00,24-May-2017 - 00:00,,29.05,17.2,172.94,41.69,0.66
144,24-May-2017 - 00:00,25-May-2017 - 00:00,,22.5,15.06,176.03,39.2,0.29
145,25-May-2017 - 00:00,26-May-2017 - 00:00,,39.8,16.76,158.66,35.05,0.73
146,26-May-2017 - 00:00,27-May-2017 - 00:00,,24.14,22.81,90.18,34.2,0.65
147,27-May-2017 - 00:00,28-May-2017 - 00:00,,28.91,16.77,85.47,35.02,0.55
148,28-May-2017 - 00:00,29-May-2017 - 00:00,,30.28,16.87,86.86,35.92,0.57
149,29-May-2017 - 00:00,30-May-2017 - 00:00,,40.74,6.63,68.76,35.35,0.57
150,30-May-2017 - 00:00,31-May-2017 - 00:00,,21.58,4.38,67.72,32.16,0.58
151,31-May-2017 - 00:00,01-Jun-2017 - 00:00,,43.25,12.37,98.75,49.22,0.72
152,01-Jun-2017 - 00:00,02-Jun-2017 - 00:00,,40,21.7,120.55,41.91,0.62
153,02-Jun-2017 - 00:00,03-Jun-2017 - 00:00,,42.51,7.22,87.7,42.14,0.63
154,03-Jun-2017 - 00:00,04-Jun-2017 - 00:00,,26.42,0.68,136.66,47.18,0.23
155,04-Jun-2017 - 00:00,05-Jun-2017 - 00:00,,,,,,
156,05-Jun-2017 - 00:00,06-Jun-2017 - 00:00,,95.42,18.94,171.74,39.19,0.51
157,06-Jun-2017 - 00:00,07-Jun-2017 - 00:00,,43.67,21.11,112.78,36.4,0.44
158,07-Jun-2017 - 00:00,08-Jun-2017 - 00:00,,37.53,20.05,155.45,38.14,0.49
159,08-Jun-2017 - 00:00,09-Jun-2017 - 00:00,,29.27,16.97,123.93,34.91,0.45
160,09-Jun-2017 - 00:00,10-Jun-2017 - 00:00,,24.84,16.43,140.92,33.74,0.49
161,10-Jun-2017 - 00:00,11-Jun-2017 - 00:00,,9.85,8.53,70.52,30.74,0.07
162,11-Jun-2017 - 00:00,12-Jun-2017 - 00:00,,,,,,
