S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
1139,13-Feb-2020 - 00:00,14-Feb-2020 - 00:00,132.24,48.85,9.34,267.19,64.27,1.11
1140,14-Feb-2020 - 00:00,15-Feb-2020 - 00:00,122.28,51.09,11.55,223.85,54.73,1
1141,15-Feb-2020 - 00:00,16-Feb-2020 - 00:00,85.38,50.87,8.43,185.01,47.69,0.99
1142,16-Feb-2020 - 00:00,17-Feb-2020 - 00:00,131.26,53.11,10.55,257.14,48.94,0.96
1143,17-Feb-2020 - 00:00,18-Feb-2020 - 00:00,130.64,52.42,8.4,244.37,51.4,0.98
1144,18-Feb-2020 - 00:00,19-Feb-2020 - 00:00,122.38,56.14,8.43,225.51,32.77,0.74
1145,19-Feb-2020 - 00:00,20-Feb-2020 - 00:00,107.69,53.54,22.44,174.72,19.48,0.46
1146,20-Feb-2020 - 00:00,21-Feb-2020 - 00:00,79.16,38.99,14.36,147.99,16.78,0.48
1147,21-Feb-2020 - 00:00,22-Feb-2020 - 00:00,112.54,20.7,2.66,203.97,41.48,1.09
1148,22-Feb-2020 - 00:00,23-Feb-2020 - 00:00,150.06,51.99,4.51,259.06,46.09,1.06
1149,23-Feb-2020 - 00:00,24-Feb-2020 - 00:00,134.36,44.41,4.3,215.95,34.79,0.85
1150,24-Feb-2020 - 00:00,25-Feb-2020 - 00:00,149.68,28.91,6.95,241.35,46.29,1.1
1151,25-Feb-2020 - 00:00,26-Feb-2020 - 00:00,103.27,18.7,4.34,164.25,34.99,0.72
1152,26-Feb-2020 - 00:00,27-Feb-2020 - 00:00,46.96,43.95,8.83,98.66,24.19,0.45
1153,27-Feb-2020 - 00:00,28-Feb-2020 - 00:00,60.39,51.28,7.91,129.43,31.3,0.71
1154,28-Feb-2020 - 00:00,29-Feb-2020 - 00:00,113.86,58.05,9.6,221.21,34.24,1.07
